iter	Passed	Remaining
0	179	179659
1	183	91537
2	188	62495
3	191	47566
4	194	38623
5	196	32532
6	198	28192
7	202	25063
8	204	22508
9	206	20461
10	209	18800
11	211	17399
12	213	16232
13	216	15269
14	219	14383
15	221	13620
16	223	12941
17	226	12332
18	228	11793
19	231	11333
20	233	10895
21	236	10503
22	238	10145
23	241	9823
24	243	9512
25	246	9244
26	249	8986
27	251	8740
28	254	8518
29	256	8305
30	259	8100
31	262	7939
32	265	7776
33	267	7604
34	270	7446
35	272	7293
36	274	7157
37	278	7049
38	280	6917
39	283	6792
40	285	6677
41	287	6565
42	290	6460
43	293	6377
44	295	6281
45	298	6198
46	301	6119
47	304	6030
48	306	5946
49	309	5883
50	311	5805
51	314	5737
52	316	5663
53	319	5595
54	321	5528
55	325	5480
56	327	5420
57	330	5363
58	332	5302
59	334	5246
60	337	5187
61	340	5155
62	343	5105
63	345	5054
64	347	5005
65	350	4957
66	352	4909
67	355	4877
68	358	4831
69	360	4788
70	362	4747
71	365	4705
72	367	4664
73	371	4644
74	373	4607
75	375	4568
76	378	4533
77	380	4497
78	382	4460
79	386	4441
80	388	4408
81	389	4365
82	392	4336
83	394	4304
84	396	4272
85	400	4251
86	402	4223
87	405	4198
88	407	4171
89	409	4143
90	412	4120
91	415	4105
92	418	4078
93	420	4054
94	423	4031
95	424	3998
96	426	3973
97	431	3974
98	434	3955
99	437	3936
100	439	3915
101	442	3894
102	445	3878
103	447	3857
104	450	3835
105	452	3815
106	454	3795
107	457	3775
108	459	3754
109	462	3738
110	464	3718
111	466	3699
112	469	3681
113	471	3664
114	473	3645
115	477	3635
116	479	3619
117	481	3602
118	484	3585
119	486	3569
120	488	3552
121	492	3543
122	494	3526
123	497	3512
124	499	3495
125	501	3480
126	504	3465
127	507	3457
128	509	3441
129	512	3429
130	514	3415
131	517	3400
132	519	3387
133	523	3382
134	525	3368
135	528	3355
136	530	3340
137	532	3328
138	535	3315
139	539	3311
140	541	3298
141	543	3284
142	545	3270
143	548	3258
144	550	3246
145	554	3242
146	555	3222
147	557	3211
148	560	3203
149	563	3191
